Happiness_score,Dystopia,Freedom_to_make_life_choices,Generosity,Social_support,Personal_Rights,Personal_Freedom
1.333420872,0.76593285,0.281847393,0.443768479,0.56695408,1.810835352,ozgur_degil
1.535576064,0.39877612,0.480728397,0.370411331,0.640094693,2.051569555,ozgur_degil
1.770195291,0.943127386,0.393865246,0.233235267,0.727796835,1.794667662,yari_ozgur
1.333684411,0.47871557,0,0.272352307,0.718188046,1.67107742,ozgur_degil
1.886918122,0.960881615,0.532721567,0.28529283,0.78845736,2.106137868,yari_ozgur
1.476135065,0.419368013,0.368089881,0.253166095,0.694892604,1.881297246,ozgur_degil
1.985680162,0.725130226,0.574299786,0.525542068,0.801472555,2.268499203,ozgur
1.946766925,0.76033843,0.561703748,0.446055891,0.79222507,2.271274912,ozgur
1.655175804,0.566449528,0.489115094,0.192380821,0.729147632,1.456175332,ozgur_degil
1.527793923,0.682591667,0.525542068,0.346937871,0.619135348,1.812570307,ozgur_degil
1.717215505,0.544066958,0.43381867,0.331962364,0.789403062,1.578287399,yari_ozgur
1.930216212,0.753301103,0.550919181,0.393165634,0.792599642,2.246784005,ozgur
1.296643139,0.634458184,0.5024023,0.375741142,0.506543648,2.133658498,ozgur_degil
1.761815593,0.893226792,0.558279482,0.388925461,0.745811551,2.022489616,yari_ozgur
1.32601343,-0.972861083,0.536863781,0.273564883,0.744524988,2.117487846,ozgur
1.892358668,1.018486244,0.507455805,0.338250823,0.786748684,2.135826789,ozgur
1.550536805,-0.004008021,0.430214436,0.289795881,0.787319163,2.111002293,yari_ozgur
1.394262531,0.546385799,0.450572295,0.406130888,0.703727865,2.071884723,ozgur_degil
1.427436304,0.042101176,0.585346452,0.483221501,0.694643817,1.813634986,yari_ozgur
1.546498113,0.847583534,0.504250365,0.395952212,0.679365302,1.82207178,ozgur_degil
1.990063731,0.782530742,0.577548259,0.507000092,0.796138437,2.273346628,ozgur
1.370164979,0.728031582,0.338250823,0.381690042,0.681443578,1.511430471,ozgur_degil
1.894917561,0.920282753,0.478717588,0.452246359,0.757593778,1.662697834,ozgur_degil
