Country,Happiness_score,Dystopia,Freedom_to_make_life_choices,Generosity,Social_support,Personal_Rights,Personal_Freedom
Afghanistan,3.794,2.151,0.325576412,0.558569602,0.762889245,6.115553941,ozgur_degil
Albania,4.644,1.49,0.617251974,0.448330235,0.896660471,7.780102827,ozgur_degil
Algeria,5.872,2.568,0.482700735,0.262678511,1.070513895,6.017474553,yari_ozgur
Angola,3.795,1.614,0,0.313049517,1.050714043,5.31789432,ozgur_degil
Argentina,6.599,2.614,0.703562364,0.33015148,1.2,8.216446921,yari_ozgur
Armenia,4.376,1.521,0.444971909,0.288097206,1.003493896,6.562011887,ozgur_degil
Australia,7.284,2.065,0.77588659,0.691375441,1.228820573,9.664884893,ozgur
Austria,7.006,2.139,0.753657747,0.562138773,1.208304597,9.691749068,ozgur
Azerbaijan,5.234,1.762,0.630872412,0.212132034,1.073312629,4.289522118,ozgur_degil
Bangladesh,4.608,1.979,0.691375441,0.414728827,0.85732141,6.126173357,ozgur_degil
Belarus,5.569,1.723,0.543139025,0.393700394,1.202081528,4.846648326,yari_ozgur
Belgium,6.891,2.124,0.734846923,0.481663783,1.20913192,9.457272334,ozgur
Benin,3.657,1.886,0.652686755,0.45607017,0.659545298,8.44570897,ozgur_degil
Bolivia,5.823,2.443,0.747663026,0.475394573,1.108151614,7.557115852,yari_ozgur
Botswana,3.766,0.378,0.71063352,0.314642654,1.105441088,8.310234654,ozgur
Brazil,6.635,2.769,0.661059755,0.402492236,1.196244122,8.464041588,ozgur
Bulgaria,4.714,0.996,0.537587202,0.336154726,1.19749739,8.256512581,yari_ozgur
Burkina Faso,4.032,1.727,0.569209979,0.500999002,1.021273715,7.939773297,ozgur_degil
Cambodia,4.168,1.043,0.795612971,0.621288983,1.002995513,6.132699243,yari_ozgur
Cameroon,4.695,2.334,0.655743852,0.485798312,0.972625313,6.184658438,ozgur_degil
Canada,7.316,2.187,0.78166489,0.660302961,1.216963434,9.711848434,ozgur
Chad,3.936,2.071,0.402492236,0.464758002,0.976729236,4.533210783,ozgur_degil
Chile,6.652,2.51,0.614003257,0.571839138,1.133137238,5.273518749,ozgur_degil
China,5.273,1.765,0.687749955,0.170293864,1.0774971,9.468896451,ozgur
Colombia,6.357,2.616,0.690651866,0.386005181,1.184060809,3.9,ozgur
Congo (Brazzaville),4.291,1.724,0.659545298,0.347850543,0.91214034,8.10061726,yari_ozgur
Costa Rica,7.079,2.899,0.761577311,0.463680925,1.189957982,5.318834459,ozgur_degil
Croatia,5.293,1.854,0.505964426,0.497995984,0.98386991,9.113725912,ozgur
Cyprus,5.621,1.621,0.595818764,0.520576603,1.063484838,8.595347579,yari_ozgur
Czech Republic,6.609,2.452,0.700713922,0.296647939,1.19749739,9.216832428,ozgur
Denmark,7.522,2.314,0.791201618,0.595818764,1.245391505,9.322553298,ozgur
Dominican Republic,5.23,1.319,0.743639698,0.432434966,1.184060809,9.893937538,ozgur
Ecuador,6.008,2.29,0.674536878,0.387298335,1.1340194,7.886697661,yari_ozgur
Egypt,4.735,1.702,0.531036722,0.3591657,0.998498873,7.01925922,yari_ozgur
El Salvador,6.003,2.715,0.657267069,0.279284801,1.087198234,5.304714884,yari_ozgur
Estonia,5.611,1.358,0.692098259,0.314642654,1.215318888,8.01623353,yari_ozgur
Ethiopia,4.46,2.016,0.639531078,0.559464029,0.930053762,9.587491851,ozgur
Finland,7.469,2.43,0.78612976,0.494974747,1.240967365,4.485532298,ozgur_degil
France,6.442,2.006,0.68556546,0.360555128,1.178134118,9.786214794,ozgur
Georgia,4.286,1.5,0.555877684,0.232379001,0.755645419,9.275235846,ozgur
Germany,6.951,2.016,0.750333259,0.57965507,1.213672114,8.05294977,yari_ozgur
Ghana,4.12,1.578,0.650384502,0.506951674,0.934879671,9.630680142,ozgur
Greece,5.227,1.749,0.309838668,0,1.113103769,8.949860334,yari_ozgur
Guatemala,6.454,2.894,0.728697468,0.531977443,1.120714058,8.522323627,yari_ozgur
Guinea,3.507,1.552,0.59076222,0.514781507,0.889381808,7.385120175,yari_ozgur
Honduras,5.181,2.066,0.589915248,0.485798312,1.069579357,6.788961629,ozgur_degil
Hungary,5.324,1.716,0.419523539,0.279284801,1.158878768,7.071067812,yari_ozgur
Iceland,7.504,2.323,0.791833316,0.689927532,1.269251748,7.982480817,yari_ozgur
India,4.315,1.519,0.68556546,0.481663783,0.868331734,9.613012015,ozgur
Indonesia,5.262,1.429,0.665582452,0.782304289,1.128716085,8.502940668,yari_ozgur
Iran,4.692,1.499,0.498998998,0.622093241,0.843800924,8.033679107,yari_ozgur
Ireland,6.977,1.774,0.756967635,0.654217089,1.248198702,4.315089802,ozgur_degil
Israel,7.213,2.802,0.637181293,0.574456265,1.173030264,9.648315915,ozgur
Italy,5.964,1.813,0.505964426,0.415932687,1.202081528,8.820430828,ozgur
Ivory Coast,4.18,1.845,0.669328021,0.448330235,0.95131488,8.925805286,yari_ozgur
Jamaica,5.311,1.612,0.688476579,0.483735465,1.169615321,7.343704787,ozgur_degil
Japan,5.92,1.363,0.71133677,0.347850543,1.198332174,8.599418585,ozgur
Jordan,5.336,1.791,0.646529195,0.414728827,1.113103769,9.25526877,ozgur
Kazakhstan,5.819,1.785,0.661059755,0.449444101,1.176435294,6.675327707,yari_ozgur
Kenya,4.553,1.652,0.673052747,0.667083203,1.033440855,5.288667129,yari_ozgur
Kuwait,6.105,1.64,0.704272674,0.477493455,1.122497216,7.251896304,yari_ozgur
Kyrgyzstan,5.004,1.537,0.674536878,0.654980916,1.180677771,6.350590524,yari_ozgur
Latvia,5.85,1.994,0.570964097,0.391152144,1.185326959,6.971370023,yari_ozgur
Lebanon,5.225,1.695,0.537587202,0.513809303,1.063014581,8.858893836,yari_ozgur
Lesotho,3.808,1.43,0.625299928,0.396232255,1.090871211,7.086607087,yari_ozgur
Liberia,3.533,1.673,0.577061522,0.516720427,0.933809402,7.757576941,yari_ozgur
Lithuania,5.902,2.228,0.483735465,0.1,1.214084017,7.865748534,ozgur_degil
Macedonia,5.175,1.617,0.570964097,0.503984127,1.099090533,9.275235846,yari_ozgur
Madagascar,3.644,1.585,0.434741302,0.457165178,0.955510335,7.622991539,ozgur_degil
Malawi,3.97,2.082,0.683373983,0.535723809,0.716240183,7.592101158,ozgur_degil
Malaysia,6.084,2.004,0.634034699,0.645755372,1.133578405,8.24560489,yari_ozgur
Mali,4.19,1.668,0.554075807,0.427784993,1.131812705,6.600757532,yari_ozgur
Mauritania,4.292,1.652,0.309838668,0.449444101,1.127829774,7.216647421,ozgur_degil
Mauritius,5.629,1.698,0.700713922,0.600832755,1.1,6.289674077,ozgur_degil
Mexico,6.578,2.837,0.642650761,0.347850543,1.100454452,9.039911504,yari_ozgur
Moldova,5.838,2.808,0.490917508,0.457165178,1.118928058,8.116033514,yari_ozgur
Mongolia,4.955,1.111,0.627694193,0.581377674,1.221883792,8.047981113,ozgur_degil
Montenegro,5.237,1.729,0.441588043,0.444971909,1.112654484,8.377350416,yari_ozgur
Morocco,5.235,2.456,0.638748777,0.178885438,0.880340843,7.877182237,ozgur_degil
Mozambique,4.55,2.356,0.693541635,0.567450438,0.933273808,6.734983296,yari_ozgur
Myanmar,4.545,1.115,0.716937933,0.915423399,1.059716943,7.283543094,ozgur_degil
Namibia,4.574,1.482,0.721110255,0.277488739,1.047854952,5.586591089,yari_ozgur
Nepal,4.962,1.891,0.663324958,0.627694193,1.085817664,8.181075724,ozgur
Netherlands,7.377,2.295,0.764852927,0.68556546,1.19540788,7.467261881,ozgur_degil
New Zealand,7.314,2.046,0.783581521,0.707106781,1.244186481,9.674709298,ozgur
Nicaragua,6.071,2.514,0.669328021,0.549545267,1.134460224,9.699484522,ozgur
Niger,4.028,1.874,0.603324125,0.478539445,0.996493853,6.382005954,yari_ozgur
Nigeria,5.074,2.365,0.628490254,0.480624594,1.1027239,7.330075034,ozgur_degil
Norway,7.537,2.277,0.796868873,0.601664358,1.238547536,7.289032858,ozgur_degil
Pakistan,5.269,2.792,0.484767986,0.561248608,0.820365772,9.814275317,ozgur
Panama,6.452,2.307,0.741619849,0.459347363,1.171750827,6.795586803,ozgur_degil
Paraguay,5.493,1.685,0.688476579,0.473286383,1.227599283,8.408923831,yari_ozgur
Peru,5.715,2.207,0.670820393,0.356370594,1.10408333,7.757576941,yari_ozgur
Philippines,5.43,1.973,0.764852927,0.440454311,1.119821414,8.59418408,yari_ozgur
Poland,5.973,1.798,0.721110255,0.397492138,1.202497401,7.956758134,yari_ozgur
Portugal,5.195,1.108,0.705691151,0.3082207,1.169187752,8.921322772,ozgur
Romania,5.825,2.177,0.676017751,0.366060104,1.072380529,9.43027041,ozgur
Russia,5.963,2.206,0.611555394,0.228035085,1.212023102,8.475258108,ozgur
Rwanda,3.471,0.54,0.762889245,0.502991054,0.972625313,5.041825066,yari_ozgur
Saudi Arabia,6.344,2.065,0.670820393,0.384707681,1.134460224,5.327288241,ozgur
Senegal,4.535,1.79,0.614817046,0.427784993,1.086278049,5.016971198,yari_ozgur
Serbia,5.395,1.947,0.457165178,0.469041576,1.121605991,8.645808233,ozgur_degil
Sierra Leone,4.709,2.668,0.56480085,0.541294744,0.991967741,8.332466622,ozgur_degil
Slovakia,6.098,2.098,0.54405882,0.37013511,1.226784415,7.538567503,ozgur_degil
Slovenia,5.758,1.313,0.756967635,0.492950302,1.205404496,8.858893836,yari_ozgur
Somalia,5.151,3.117,0.77588659,0.540370243,0.849117189,8.937001734,ozgur
South Africa,4.829,1.511,0.692098259,0.372827038,1.17686023,8.643494664,ozgur
South Korea,5.838,1.88,0.507937004,0.454972527,1.062073444,8.510581649,ozgur
Spain,6.403,1.928,0.639531078,0.435889894,1.237739876,9.20163029,ozgur
Sri Lanka,4.44,0.419,0.748999332,0.700713922,1.122497216,7.321202087,yari_ozgur
Sweden,7.284,2.098,0.782943165,0.620483682,1.215730233,9.670056877,ozgur
Switzerland,7.494,2.277,0.787400787,0.539444158,1.231665539,9.525754563,ozgur
Tajikistan,5.041,1.849,0.687022561,0.498998998,1.127386358,4.043513324,ozgur_degil
Tanzania,3.349,0.621,0.6244998,0.594978991,1.020784012,7.131619732,yari_ozgur
Thailand,6.424,2.04,0.761577311,0.756306816,1.194152419,6.107372594,ozgur
Togo,3.495,1.837,0.6164414,0.44384682,0.657267069,6.854195795,ozgur_degil
Tunisia,4.805,1.89,0.538516481,0.223606798,0.931665176,8.469946871,yari_ozgur
Turkey,5.5,1.879,0.548634669,0.216794834,1.156719499,5.974110812,yari_ozgur
Uganda,4.081,1.526,0.665582452,0.570964097,1.063014581,6.462971453,ozgur_degil
Ukraine,4.096,0.814,0.350713558,0.519615242,1.181101181,7.936623967,ozgur_degil
United Kingdom,6.714,1.704,0.712741187,0.702139587,1.223110788,9.526804291,ozgur
United States,6.993,2.218,0.71133677,0.626897121,1.191637529,9.432921075,ozgur
Uruguay,6.454,2.172,0.760920495,0.418330013,1.188276062,9.462557794,ozgur
Uzbekistan,5.971,1.817,0.811171992,0.64498062,1.244588285,2.304343724,yari_ozgur
Yemen,3.593,1.346,0.498998998,0.32249031,0.96695398,5.16139516,ozgur_degil
Zimbabwe,3.875,1.598,0.57965507,0.434741302,1.040672859,5.107837116,yari_ozgur
